taxon_name	n_curli_reference_sequences	n_csgA	n_csgB	n_csgC	n_csgD	n_csgE	n_csgF	n_csgG	has_reliable_core_markers	has_cautious_markers	curli_candidate_confidence	notes
Salmonella enterica subsp. enterica serovar Typhi str. CT18	3	0	0	0	1	0	0	2	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella paratyphi A	3	0	0	0	1	0	0	2	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Scandinavium hiltneri	3	0	1	1	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Siccibacter turicensis	3	1	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Trabulsiella guamensis ATCC 49490	3	1	0	1	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Trabulsiella odontotermitis	3	1	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Buttiauxella agrestis ATCC 33320	2	0	0	1	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Buttiauxella brennerae ATCC 51605	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Buttiauxella ferragutiae ATCC 51602	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Buttiauxella gaviniae ATCC 51604	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Buttiauxella noackiae ATCC 51607	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Citrobacter amalonaticus Y19	2	0	1	0	0	0	0	1	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Citrobacter europaeus	2	1	0	0	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Cronobacter condimenti 1330	2	0	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Cronobacter universalis NCTC 9529	2	0	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli (strain 55989 / EAEC)	2	0	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli (strain SMS-3-5 / SECEC)	2	0	0	1	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli DEC2D	2	0	0	1	0	0	1	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli EC1870	2	0	0	0	0	0	1	1	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli H386	2	1	1	0	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli H605	2	0	1	0	0	0	0	1	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O145	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O157:H7	2	1	0	0	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O44:H18 (strain 042 / EAEC)	2	1	0	0	0	0	1	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O7:K1 (strain IAI39 / ExPEC)	2	1	1	0	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O83:H1 (strain NRG 857C / AIEC)	2	0	0	1	0	0	0	1	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Hafnia alvei ATCC 51873	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Hafnia alvei FB1	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Klebsiella oxytoca	2	0	0	0	2	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Klebsiella quasipneumoniae	2	0	0	0	2	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Pseudocitrobacter faecalis	2	0	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Pseudocitrobacter vendiensis	2	0	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Raoultella terrigena	2	0	0	0	2	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	2	0	0	1	0	1	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella choleraesuis (strain SC-B67)	2	0	0	1	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella derby	2	0	0	0	2	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. arizonae serovar 41:z4,z23:-	2	1	1	0	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	2	0	1	0	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Bovismorbificans	2	1	0	0	0	0	0	1	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Chester	2	0	1	0	0	0	1	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Daytona	2	1	1	0	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Denver	2	0	0	1	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Indiana	2	1	0	0	0	1	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Pomona	2	0	0	1	0	0	0	1	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Sandiego	2	0	1	0	1	0	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Sanjuan	2	0	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Schwarzengrund	2	0	0	0	0	2	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Shamba	2	0	1	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. houtenae serovar 45:g,z51:-	2	0	1	0	0	1	0	0	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. indica serovar 6,14,25:z10:1,(2),7 str. 1121	2	0	0	1	0	0	0	1	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. salamae serovar 42:r:-	2	0	0	0	1	0	1	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. salamae serovar 48:d:z6	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella montevideo	2	1	0	0	0	0	0	1	yes	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Shigella sonnei (strain Ss046)	2	1	0	1	0	0	0	0	no	yes	medium	processed-table triage proxy only; not proof of expression or operon integrity
Citrobacter youngae ATCC 29220	1	0	0	0	0	0	0	1	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Cronobacter sakazakii	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Edwardsiella tarda (strain FL6-60)	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Erwinia amylovora (strain CFBP1430)	1	0	0	0	0	0	0	1	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Erwinia billingiae (strain Eb661)	1	0	0	0	0	0	0	1	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia albertii (strain TW07627)	1	0	0	0	0	0	1	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli 2-460-02_S1_C1	1	0	0	0	0	0	0	1	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O127:H6 (strain E2348/69 / EPEC)	1	0	0	0	0	0	1	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O145:NM	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli O45:K1 (strain S88 / ExPEC)	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Klebsiella aerogenes	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Klebsiella michiganensis	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Klebsiella pneumoniae IS43	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Klebsiella quasivariicola	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Klebsiella variicola	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Pluralibacter gergoviae	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Rahnella laticis	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella abortus-equi	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella bongori N268-08	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella dublin	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. arizonae serovar 18:z4,z23:-	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. arizonae serovar 18:z4,z32:-	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Abeokuta	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Adelaide	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Braenderup	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Choleraesuis	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Durban	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Infantis str. CFSAN000522	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Kiambu	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar London	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Meleagridis	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Newport str. WA_14882	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Orion	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Paratyphi B str. CFSAN000540	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Reading	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Rough O:-:-	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Sendai	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Vitkin	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. enterica serovar Weslaco	1	0	0	0	0	1	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. salamae serovar 47:b:1,5	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enteritidis PT4 (strain P125109)	1	0	0	0	0	0	0	1	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella hadar	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella moscow	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella muenchen	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella paratyphi B	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella paratyphi C (strain RKS4594)	1	0	0	0	0	0	1	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella virchow	1	0	0	0	1	0	0	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
Shigella flexneri K-315	1	0	0	0	0	0	1	0	yes	no	medium	processed-table triage proxy only; not proof of expression or operon integrity
